"Sample","MEblack","MEblue","MEbrown","MEgreen","MEmagenta","MEpink","MEpurple","MEred","MEturquoise","MEyellow"
"B12_A6_6hpi_1",0.198434470526856,0.287739606655577,-0.123545245075725,-0.223835700399068,0.146226801190644,0.068652377706088,-0.227307708889981,-0.0132426017129914,-0.239497810015108,0.203528748973038
"B12_A6_6hpi_2",0.204086640361585,0.283456578792057,-0.124529492433623,-0.225305414912978,0.116531141213362,0.0682403522971088,-0.195503157716084,-0.0130623201079586,-0.239087532565616,0.202207728175543
"B12_A6_6hpi_3",0.184169951405493,0.279510942776007,-0.124702112920745,-0.215444354617287,0.133150642199013,0.0499213704376415,-0.192131379891859,-0.00589761689891688,-0.237460395151305,0.190290189876792
"B12_A6_12hpi_1",0.134344522380944,-0.0710297127054087,0.260198967639895,-0.0854694706228867,-0.230815363592858,0.234911983820326,-0.148001367089656,-0.238754349305329,0.149120661253275,-0.187999058573287
"B12_A6_12hpi_2",0.138240156930458,-0.0893667061379788,0.264156011220477,-0.0914569826233077,-0.307527236608061,0.224706242096355,-0.188927435809521,-0.28904154476583,0.17082439965149,-0.260937523353329
"B12_A6_12hpi_3",0.126917687631218,-0.0848749262664638,0.255692646889054,-0.0854331929815122,-0.275968403844229,0.208583734193186,-0.185551016385705,-0.266787136569879,0.157137052471705,-0.241236269154878
"B12_A6_18hpi_1",-0.0805155046973121,-0.0568643795779452,-0.0321279682145197,0.123595914119827,0.0319657015387393,-0.0908169950975777,-0.113740503244448,0.0341377227655638,0.0884337456488521,-0.0200700545207822
"B12_A6_18hpi_2",-0.0661210380024697,-0.0544760938508238,-0.0312880520611801,0.12046553881911,0.0407030446196436,-0.0850481419835626,-0.0561086542471029,0.0471265223386937,0.0621944187796483,-0.01322931553606
"B12_A6_18hpi_3",-0.0670287832843691,-0.0529240685646035,-0.0313893719841227,0.11909172499564,0.0470571692971792,-0.0555508822599212,-0.0982853289312174,0.0460024730851666,0.0640131210632998,-0.020125513067886
"B12_A6_24hpi_1",-0.202763945518917,-0.0861914010828161,-0.121406222741716,0.168530940641676,0.0815272954787261,-0.182183790699199,-0.0809739204495354,0.168291282980082,0.0492769571311165,0.0474612633194282
"B12_A6_24hpi_2",-0.176243762568022,-0.0779598812054667,-0.0998304396283058,0.165817228823308,0.0583073241344079,-0.174774983517583,-0.0249475216793636,0.161127816357248,0.0657893922992641,0.0325156128536702
"B12_A6_24hpi_3",-0.184907088183788,-0.0753059717195164,-0.0998455549103198,0.167320237062467,0.105862971937197,-0.18162772919309,0.0102129227027326,0.17167414622153,0.039553743818232,0.0674803564092384
"B12_K1_6hpi_1",0.120511339508784,0.211448830099228,-0.110326888746417,-0.163665287351246,0.121725320785815,0.026872493296648,0.0797461839211437,0.00391045155508459,-0.236389436456437,0.169897500653854
"B12_K1_6hpi_2",0.117297029369825,0.200324783118243,-0.113936366418845,-0.153961005265679,0.121316109740551,0.0364676972280679,0.14925560487206,0.0158579773868659,-0.239281282692603,0.150868818663511
"B12_K1_6hpi_3",0.133795658048271,0.214909921102754,-0.113268143863616,-0.157750427516707,0.128591468096392,0.0281616415280679,0.0954811286082197,0.0166155250888436,-0.238214804203745,0.168321563284936
"B12_K1_12hpi_1",0.0663762634113854,-0.0937930095487274,0.217354452081016,-0.0547794739956827,-0.179128144273771,0.176679470212364,0.143340860780517,-0.155815139117228,0.113682190663348,-0.164406034687148
"B12_K1_12hpi_2",0.0569760793171963,-0.105278235474994,0.212811294766774,-0.0567047204623607,-0.167500923061831,0.171114902006762,0.157407796391902,-0.154379703653425,0.10799381853017,-0.173850988371802
"B12_K1_12hpi_3",0.0646819665323052,-0.104078723005508,0.239329351202842,-0.0742550816196588,-0.223868795426518,0.19935041986379,0.123496696837595,-0.19796970958143,0.110655941472815,-0.22985671368909
"B12_K1_18hpi_1",-0.0411757849218189,-0.0585114042446503,-0.0111748628673348,0.0870051764363213,0.0113560189111335,-0.0639686366191488,0.138927561536508,0.0312011121603019,0.0323168280530821,-0.00572461130886415
"B12_K1_18hpi_2",-0.0759814505541819,-0.0613186303831711,-0.0091030844779698,0.0995113622987933,0.016074826248327,-0.0500622055702555,0.151995105023519,0.0519048146788586,0.0464343882655636,-0.0169780006285456
"B12_K1_18hpi_3",-0.0697512615937319,-0.0563325199408179,-0.00706591239518174,0.0977827385312999,0.0341654614557382,-0.0483467501838699,0.146835899802816,0.028063521385196,0.0226525845249526,-0.0288537096695357
"B12_K1_24hpi_1",-0.237198676599679,-0.134171096176205,-0.118115426806282,0.160655110366781,0.142117789767476,-0.203726656357861,0.215157658694403,0.193533120800147,-0.0194672118373734,0.0636320715976924
"B12_K1_24hpi_2",-0.17091966344413,-0.0711764060062573,-0.0801225477092232,0.161683677954738,0.141794445839046,-0.127464518013243,0.264706990599966,0.217109307787319,-0.0225018154706411,0.0798906482205499
"B12_K1_24hpi_3",-0.199689076894585,-0.0864938756407095,-0.094448069553248,0.155178550466729,0.136123570388006,-0.155135308448121,0.184492158798322,0.205144541814929,-0.00836799608764815,0.0580551907339329
"pps_A6_6hpi_1",0.199892323678685,0.266160100266226,-0.119718527951716,-0.220944314597644,0.115727396967633,0.0624960762322906,-0.214430239262397,-0.0155939775199173,-0.232752757048376,0.196333316153175
"pps_A6_6hpi_2",0.199265740805826,0.278027588757598,-0.130777259848609,-0.231304069146242,0.0998169247009989,0.0584119812383696,-0.219800105670138,-0.0306038215942755,-0.240879618363697,0.19879603420227
"pps_A6_6hpi_3",0.206858262462327,0.292492229283049,-0.118085220455596,-0.228992353428274,0.120401258821606,0.0724105703375433,-0.237889335469797,-0.0340870214596456,-0.250702299317607,0.202416519995429
"pps_A6_12hpi_1",0.146177364021088,-0.0702465620027416,0.262835280162799,-0.0828989789644768,-0.247124279255452,0.248429548110848,-0.181187544406848,-0.241338637162662,0.159399582049076,-0.20871043148276
"pps_A6_12hpi_2",0.123963540562967,-0.0811044029379497,0.243651870423852,-0.0901655872719383,-0.275322421823237,0.201623078121911,-0.118145111402956,-0.239633373611049,0.15709782160627,-0.217747041266562
"pps_A6_12hpi_3",0.150593993799564,-0.0769459977199014,0.2615562354637,-0.0944682899672863,-0.253480472319871,0.249304265266599,-0.195057246079,-0.26117750589799,0.149590924478776,-0.232830024214682
"pps_A6_18hpi_1",-0.0832231149061804,-0.0709905951800869,-0.0269390774774703,0.129118442453169,0.00828264148191125,-0.0982413630242265,-0.146463482256226,0.0392384819918977,0.098596608840615,-0.0238149673381253
"pps_A6_18hpi_2",-0.074582890664801,-0.0490376870936433,-0.0225064375558108,0.132715757148724,0.0149605193353317,-0.0906512676494525,-0.104415671227047,0.0478168742236062,0.0797171750503683,-0.0149807353419588
"pps_A6_18hpi_3",-0.0956166109253082,-0.0702855588814852,-0.0383551872745166,0.143854194613123,0.0373748048334087,-0.107053063607455,-0.110120907994825,0.0836155089978167,0.0822583896041583,-0.0186867462280647
"pps_A6_24hpi_1",-0.226399128668351,-0.116495116207237,-0.130669773528534,0.167710788945971,0.0572994065019224,-0.227937055712201,-0.0481884054357949,0.183600589972002,0.0667748362501171,0.0679967008078088
"pps_A6_24hpi_2",-0.210986372716815,-0.0988821982878255,-0.115080524664045,0.170051063561455,0.103032857541114,-0.196832978384443,-0.0423123003764974,0.17181877445678,0.0676587087578769,0.047819266094569
"pps_A6_24hpi_3",-0.189869843653033,-0.0744302535520284,-0.105172773486216,0.162037936997706,0.0903271991299162,-0.206712509693875,-0.0323200037625094,0.155545207263214,0.0608975578748961,0.0411244362589184
"pps_K1_6hpi_1",0.142046295926868,0.223462960178715,-0.11284356200821,-0.185877334579083,0.123321291845552,0.0420270000585456,0.0653030552822389,-0.000329769726641782,-0.238049954560375,0.173732086512495
"pps_K1_6hpi_2",0.145555635760672,0.215858414559692,-0.112635453700466,-0.177712838350456,0.120208842227066,0.0331282126558131,0.0758644303039206,0.00924760323012643,-0.241220205810276,0.165452351231922
"pps_K1_6hpi_3",0.126658049186601,0.200627989174555,-0.107614155796545,-0.160826590804327,0.134315795755783,0.0251085376702291,0.120499862110822,0.0214812795760363,-0.231709422215191,0.161907730428166
"pps_K1_12hpi_1",0.0908303591743079,-0.131620046729237,0.229414768752229,-0.0866657686187788,-0.264974546257455,0.195717126469958,0.0983474105067802,-0.22985361074511,0.122656209645363,-0.258199998534263
"pps_K1_12hpi_2",0.0434376905567148,-0.1078361982362,0.219402727946807,-0.045441223850531,-0.207163442921945,0.167137558382107,0.135925513270026,-0.150904944399668,0.121886241527087,-0.180350129554603
"pps_K1_12hpi_3",0.0631574588306011,-0.0957466429461241,0.211551330620161,-0.0523153621314255,-0.20370835852642,0.152808830808097,0.0964067037947963,-0.157480343121431,0.126132237526442,-0.186780624435964
"pps_K1_18hpi_1",-0.0651306233977527,-0.076870913440879,0.00539389345275825,0.0919238804817794,0.0289430269203187,-0.0477271067303168,0.0829638915437885,0.0177872785534863,0.0466810722461816,-0.048090315796956
"pps_K1_18hpi_2",-0.0625542138453744,-0.0692432725329813,-0.00470509949592028,0.0803986645294534,-0.0169836876352061,-0.0291565791547796,0.119180542133053,0.0166553239074468,0.0549831596443754,-0.0332066661766358
"pps_K1_18hpi_3",-0.0722485283066694,-0.088437760191846,-0.00838425387127734,0.0938677685125872,-0.0184601880375918,-0.0599430787282825,0.0821706455711049,0.0300801191731265,0.0740008715346159,-0.0547859116361024
"pps_K1_24hpi_1",-0.178684618327145,-0.090360115063975,-0.0927062669622449,0.148293716463683,0.0636601899570955,-0.164539330632697,0.155530870996335,0.174790353720975,0.0531575436608047,0.0465062029566657
"pps_K1_24hpi_2",-0.172990178554671,-0.0802611665014852,-0.0981968769162682,0.147658315313281,0.0770166217449567,-0.167981620916401,0.131313524055561,0.172077797241673,0.0530254888717777,0.0585594087677791
"pps_K1_24hpi_3",-0.179686319961435,-0.0850784157260105,-0.0927326168205437,0.151405094541213,0.0627403829784378,-0.186782917861154,0.137245329540377,0.180497598237362,0.0609888690003815,0.0466576383965012
