"Gene","Module"
"bgh03324","yellow"
"bgh02295","turquoise"
"bgh02305","brown"
"bgh03881","yellow"
"bgh02285","blue"
"bgh03409","turquoise"
"bghG001380000003001","turquoise"
"bgh02284","yellow"
"bgh02287","turquoise"
"bgh02290","turquoise"
"bghG001380000002001","turquoise"
"bghG001380000004001","green"
"bgh04353","yellow"
"bghG001381000001001","turquoise"
"bgh03775","yellow"
"bgh05318","blue"
"bghG001382000001001","blue"
"bgh02017","blue"
"bgh06936","black"
"bgh01689","blue"
"bgh06275","brown"
"bgh01678","brown"
"bgh01693","blue"
"bgh02320","blue"
"bgh02976","turquoise"
"bgh02982","yellow"
"bgh02985","yellow"
"bgh01674","blue"
"bgh01686","yellow"
"bgh06157","turquoise"
"bgh06277","red"
"bgh06439","turquoise"
"bgh01697","blue"
"bghG001398000003001","blue"
"bghG001398000004001","blue"
"bgh01688","blue"
"bghG001398000001001","turquoise"
"bghG001398000005001","red"
"bgh00308","green"
"bgh01067","green"
"bghG001400000003001","turquoise"
"bghG001400000001001","green"
"bgh04317","turquoise"
"bgh01786","turquoise"
"bgh04935","turquoise"
"bghG001414000001001","turquoise"
"bghG001423000001001","turquoise"
"bghG001435000001001","green"
"bgh03767","turquoise"
"bgh03772","pink"
"bgh04922","brown"
"bgh04929","turquoise"
"bghG001439000001001","brown"
"bgh01133","green"
"bgh06296","pink"
"bgh01013","blue"
"bgh04327","blue"
"bgh01020","yellow"
"bgh01018","blue"
"bgh04406","turquoise"
"bgh00110","red"
"bgh04409","turquoise"
"bgh05951","turquoise"
"bgh00277","brown"
"bgh04137","brown"
"bgh01017","turquoise"
"bgh06760","blue"
"bgh00032","green"
"bgh01016","blue"
"bgh03546","brown"
"bgh03449","turquoise"
"bgh01775","red"
"bgh06328","red"
"bgh05503","yellow"
"bghG001460000002001","brown"
"bgh00101","turquoise"
"bgh06361","yellow"
"bgh01738","black"
"bgh00860","brown"
"bgh04404","yellow"
"bgh01015","yellow"
"bghG001465000001001","turquoise"
"bgh03562","magenta"
"bgh01731","green"
"bgh03157","yellow"
"bgh01746","yellow"
"bgh03831","green"
"bgh03384","red"
"bgh04997","blue"
"bgh03485","blue"
"bgh03486","turquoise"
"bgh02384","blue"
"bgh02387","yellow"
"bgh02390","red"
"bgh05283","blue"
"bgh04762","brown"
"bgh03232","brown"
"bgh03233","yellow"
"bgh00155","brown"
"bgh01164","yellow"
"bgh06386","red"
"bgh00036","black"
"bgh01170","green"
"bgh04520","blue"
"bgh05701","red"
"bgh01169","turquoise"
"bgh01168","turquoise"
"bgh01163","brown"
"bgh00791","blue"
"bgh02964","green"
"bgh02940","yellow"
"bgh02958","blue"
"bgh03578","blue"
"bgh01162","blue"
"bgh01008","green"
"bgh05027","turquoise"
"bgh00789","brown"
"bgh04964","turquoise"
"bgh02346","blue"
"bghG001507000001001","red"
"bgh06128","turquoise"
"bgh06615","blue"
"bgh05374","red"
"bgh02665","red"
"bgh00315","turquoise"
"bgh03121","turquoise"
"bgh05141","yellow"
"bgh02799","turquoise"
"bgh02800","yellow"
"bgh02801","magenta"
"bghG001521000001001","magenta"
"bgh04677","brown"
"bgh04687","turquoise"
"bgh04556","brown"
"bgh00142","green"
"bgh04557","yellow"
"bgh04558","black"
"bgh04560","yellow"
"bgh04684","blue"
"bgh06021","turquoise"
"bgh04701","blue"
"bgh02527","blue"
"bgh04705","turquoise"
"bgh06103","green"
"bgh02526","blue"
"bgh02088","purple"
"bgh03374","black"
"bgh03528","pink"
"bgh04587","yellow"
"bgh04590","brown"
"bgh04691","yellow"
"bgh05954","yellow"
"bgh00061","red"
"bgh04562","yellow"
"bgh04564","turquoise"
"bgh01414","yellow"
"bghG001544000001001","blue"
"bgh06576","yellow"
"bgh02880","turquoise"
"bgh04679","blue"
"bgh04697","turquoise"
"bgh05904","red"
"bgh01427","blue"
"bgh03652","pink"
"bgh04709","red"
"bgh00885","green"
"bgh06088","blue"
"bgh01426","turquoise"
"bgh02421","turquoise"
"bgh04833","black"
"bgh06659","yellow"
"bghG001547000001001","brown"
"bgh00259","turquoise"
"bgh02787","brown"
"bgh03510","yellow"
"bgh03660","brown"
"bgh04957","brown"
"bgh03698","brown"
"bgh04059","blue"
"bgh04927","green"
"bgh03303","pink"
"bgh05034","green"
"bgh06243","brown"
"bgh01904","blue"
"bgh04086","green"
"bgh06693","yellow"
"bgh01905","blue"
"bgh01901","brown"
"bgh01902","turquoise"
"bgh00510","blue"
"bgh00511","blue"
"bgh02623","yellow"
"bgh02631","blue"
"bgh06549","blue"
"bghG001582000001001","red"
"bghG001582000002001","blue"
"bgh00585","blue"
"bgh03372","yellow"
"bgh03847","yellow"
"bgh05545","turquoise"
"bgh00431","red"
"bgh04633","brown"
"bgh00102","green"
"bgh00475","red"
"bgh04118","turquoise"
"bgh03580","turquoise"
"bgh00364","turquoise"
"bgh00548","yellow"
"bghG001596000001001","black"
"bgh03483","yellow"
"bgh03491","pink"
"bgh05111","turquoise"
"bgh04910","green"
"bgh04939","purple"
"bghG001597000001001","brown"
"bgh00567","brown"
"bgh00623","yellow"
"bgh05348","brown"
"bgh03127","brown"
"bgh06687","turquoise"
"bgh01150","brown"
"bgh03497","brown"
"bgh01149","green"
"bgh04397","green"
"bgh04411","turquoise"
"bgh05330","yellow"
"bgh00538","turquoise"
"bgh01749","green"
"bghG001615000001001","brown"
"bgh04407","blue"
"bgh01062","red"
"bgh01224","yellow"
"bgh01225","yellow"
"bgh04380","yellow"
"bgh04386","brown"
"bgh04405","pink"
"bgh02369","brown"
"bgh04975","blue"
"bgh01131","blue"
"bgh01148","turquoise"
"bgh04340","yellow"
"bgh04334","green"
"bghG001631000001001","turquoise"
"bgh04329","blue"
"bgh01128","blue"
"bgh00008","black"
"bgh01146","turquoise"
"bgh04328","brown"
"bghG001631000002001","brown"
"bgh01130","brown"
"bgh04336","red"
"bgh01126","turquoise"
"bgh06968","red"
"bgh04371","blue"
"bgh05553","brown"
"bgh03676","brown"
"bgh04325","turquoise"
"bgh05779","blue"
"bghG001634000001001","pink"
"bghG001634000002001","turquoise"
"bgh00535","turquoise"
"bgh00536","yellow"
"bghG001640000001001","blue"
"bghG001641000002001","turquoise"
"bgh02188","blue"
"bgh02190","yellow"
"bgh02179","turquoise"
"bgh03598","black"
"bgh03314","brown"
"bgh03600","yellow"
"bgh05038","turquoise"
"bgh05039","blue"
"bgh02181","blue"
"bgh00040","turquoise"
"bgh01740","brown"
"bgh02980","turquoise"
"bgh02180","blue"
"bgh02189","red"
"bgh04908","turquoise"
"bgh04161","blue"
"bghG001668000001001","blue"
"bgh00528","green"
"bgh04157","red"
"bghG001668000002001","brown"
"bgh00283","green"
"bgh02959","red"
"bgh04084","black"
"bgh06067","yellow"
"bgh06438","yellow"
"bghG001669000001001","red"
"bghG001669000002001","yellow"
"bgh01351","turquoise"
"bgh04117","blue"
"bgh04158","green"
"bgh01425","turquoise"
"bgh04115","turquoise"
"bgh04116","blue"
"bgh06385","brown"
"bghG001673000001001","brown"
"bgh00434","turquoise"
"bgh05342","green"
"bgh03845","red"
"bgh04160","red"
"bgh04811","blue"
"bgh05005","yellow"
"bgh00074","pink"
"bgh05006","blue"
"bgh02995","brown"
"bghG001676000001001","blue"
"bgh02291","turquoise"
"bgh03857","turquoise"
"bgh04191","yellow"
"bgh06238","brown"
"bgh06688","magenta"
"bgh04156","pink"
"bgh04186","turquoise"
"bgh04190","brown"
"bgh04193","turquoise"
"bgh05780","green"
"bgh04159","blue"
"bgh04806","blue"
"bgh00617","brown"
"bgh03922","brown"
"bgh03995","brown"
"bgh02220","blue"
"bgh05995","red"
"bgh01625","green"
"bgh02221","brown"
"bgh01624","red"
"bgh02219","green"
"bgh05751","turquoise"
"bgh02774","turquoise"
"bgh03457","green"
"bgh02197","red"
"bgh02071","brown"
"bgh03041","turquoise"
"bgh02894","yellow"
"bgh03039","green"
"bgh04756","yellow"
"bgh05574","blue"
"bghG001755000001001","turquoise"
"bgh02070","blue"
"bghG001760000001001","brown"
"bgh04374","brown"
"bgh01594","yellow"
"bgh01601","pink"
"bgh02763","blue"
"bgh06139","turquoise"
"bghG001764000002001","blue"
"bgh05594","black"
"bgh06816","blue"
"bgh01182","blue"
"bgh00767","brown"
"bgh03257","green"
"bgh03481","green"
"bgh06847","turquoise"
"bgh04529","black"
"bgh00518","yellow"
"bgh01605","brown"
"bgh01607","yellow"
"bghG001796000001001","blue"
"bgh01611","turquoise"
"bgh06537","turquoise"
"bgh05106","brown"
"bgh05917","brown"
"bgh01588","blue"
"bgh05104","brown"
"bgh05105","turquoise"
"bgh02073","yellow"
"bgh01429","black"
"bgh02659","blue"
"bgh06832","yellow"
"bgh00426","blue"
"bgh04899","purple"
"bgh00986","blue"
"bgh05271","blue"
"bgh05816","yellow"
"bgh01161","blue"
"bgh01166","magenta"
"bgh04394","green"
"bgh04399","red"
"bgh06261","blue"
"bgh01158","turquoise"
"bgh03615","blue"
"bgh00325","blue"
"bgh03495","purple"
"bgh00324","blue"
"bgh00746","black"
"bgh04387","pink"
"bgh04758","turquoise"
"bghG001850000001001","turquoise"
"bgh05963","yellow"
"bgh00747","blue"
"bgh02666","turquoise"
"bgh04390","blue"
"bgh04370","green"
"bgh05061","turquoise"
"bgh05618","black"
"bghG001852000001001","brown"
"bghG001855000001001","turquoise"
"bghG001855000003001","brown"
"bgh00744","turquoise"
"bgh00760","brown"
"bghG001857000001001","turquoise"
"bgh00749","blue"
"bgh00751","yellow"
"bgh00759","yellow"
"bgh00756","blue"
"bgh00131","turquoise"
"bghG001874000001001","turquoise"
"bgh02561","blue"
"bgh05786","blue"
"bgh02398","blue"
"bgh06417","brown"
"bgh00326","turquoise"
"bgh00967","yellow"
"bgh00297","blue"
"bgh00970","turquoise"
"bgh00977","brown"
"bgh00520","blue"
"bgh00975","turquoise"
"bgh00226","blue"
"bgh00973","blue"
"bgh00966","yellow"
"bgh00976","blue"
"bgh05800","red"
"bgh00972","green"
"bgh00609","red"
"bgh00965","turquoise"
"bghG001885000001001","magenta"
"bgh00580","turquoise"
"bghG001886000001001","blue"
"bghG001886000002001","yellow"
"bgh03655","yellow"
"bgh00964","turquoise"
"bgh00974","green"
"bgh02585","yellow"
"bghG001889000001001","turquoise"
"bghG001889000002001","turquoise"
"bgh00971","turquoise"
"bgh02461","yellow"
"bgh02462","red"
"bghG001891000001001","turquoise"
"bgh00962","brown"
"bgh04295","turquoise"
"bgh01571","brown"
"bgh05316","turquoise"
"bghG001904000001001","yellow"
"bgh00720","yellow"
"bgh04659","blue"
"bgh05277","blue"
"bgh05605","black"
"bgh00252","blue"
"bgh05077","brown"
"bgh06325","blue"
"bgh04671","green"
"bghG001909000003001","brown"
"bgh03960","brown"
"bgh05712","turquoise"
"bghG001909000001001","brown"
"bghG001909000002001","blue"
"bgh01042","green"
"bgh03948","brown"
"bgh05120","brown"
"bghG001922000001001","green"
"bgh05823","blue"
"bgh06394","blue"
"bgh06825","green"
"bghG001922000002001","brown"
"bghG001922000003001","turquoise"
"bghG001922000004001","turquoise"
"bghG001947000001001","green"
"bgh03568","turquoise"
"bgh03464","turquoise"
"bgh02262","green"
"bgh02778","turquoise"
"bgh02836","turquoise"
"bgh05065","green"
"bgh03112","green"
"bgh03196","turquoise"
"bgh00121","green"
"bgh05565","red"
"bgh06810","blue"
"bgh00158","green"
"bgh03516","green"
"bgh04287","green"
"bgh04304","turquoise"
"bgh00080","yellow"
"bgh03312","red"
"bgh00185","turquoise"
"bgh02552","yellow"
"bgh02566","yellow"
"bgh00628","turquoise"
"bgh05889","yellow"
"bgh06885","brown"
"bgh00682","blue"
"bgh00681","yellow"
"bgh00853","green"
"bgh04525","yellow"
"bgh00255","green"
"bgh02158","blue"
"bgh02156","blue"
"bgh06539","green"
"bgh02154","green"
"bgh02155","red"
"bgh02157","black"
"bgh00523","brown"
"bgh05952","green"
"bgh01789","red"
"bgh05312","yellow"
"bgh05670","turquoise"
"bgh01650","blue"
"bgh01627","blue"
"bgh00359","green"
"bgh04943","magenta"
"bghG002046000001001","brown"
"bgh03329","blue"
"bgh05036","turquoise"
"bghG002067000001001","brown"
"bgh01147","brown"
"bgh03326","turquoise"
"bgh03717","brown"
"bgh04538","pink"
"bgh02742","purple"
"bgh00713","black"
"bgh04537","blue"
"bgh03558","pink"
"bgh04533","blue"
"bgh04541","brown"
"bgh06367","blue"
"bgh04534","blue"
"bgh04535","blue"
"bghG002084000001001","green"
"bgh00290","brown"
"bgh06379","turquoise"
"bgh06809","green"
"bghG002085000001001","turquoise"
"bgh02259","blue"
"bghG002097000002001","turquoise"
"bghG002102000001001","turquoise"
"bgh01058","blue"
"bgh05317","brown"
"bgh03087","magenta"
"bghG002118000001001","turquoise"
"bgh05359","brown"
"bghG002135000001001","turquoise"
"bghG002135000002001","brown"
"bghG002135000003001","green"
"bgh00904","yellow"
"bgh01600","turquoise"
"bgh01603","green"
"bgh02812","red"
"bghG002148000001001","turquoise"
"bgh03689","turquoise"
"bghG002154000001001","blue"
"bgh03498","brown"
"bgh02169","turquoise"
"bgh02782","red"
"bghG002161000001001","turquoise"
"bgh03686","turquoise"
"bgh01457","brown"
"bgh01465","brown"
"bgh00734","brown"
"bgh01454","blue"
"bgh02855","turquoise"
"bgh01586","green"
"bgh01653","turquoise"
"bgh00837","turquoise"
"bgh01850","yellow"
"bgh02409","turquoise"
"bgh04342","blue"
"bgh02021","blue"
"bgh06776","yellow"
"bgh00584","red"
"bgh01851","yellow"
"bgh01859","pink"
"bgh02068","yellow"
"bgh06866","pink"
"bgh01853","brown"
"bgh01858","green"
"bgh02764","yellow"
"bgh01856","turquoise"
"bgh01857","red"
"bgh04339","magenta"
"bgh05563","black"
"bgh03642","red"
"bgh00769","brown"
"bgh03732","turquoise"
"bgh03733","turquoise"
"bgh05857","blue"
"bgh00023","pink"
"bgh05532","brown"
"bgh01548","blue"
"bgh01550","yellow"
"bgh01721","blue"
"bgh01728","red"
"bgh02495","blue"
"bgh02496","green"
"bgh02904","brown"
"bgh01480","brown"
"bgh06600","brown"
"bghG002218000001001","brown"
"bgh01511","turquoise"
"bgh01725","turquoise"
"bghG002222000001001","green"
"bgh03438","turquoise"
"bgh00409","red"
"bgh04519","brown"
"bgh01547","turquoise"
"bghG002226000001001","brown"
"bghG002227000002001","turquoise"
"bghG002227000001001","brown"
"bghG002228000001001","green"
"bgh06249","black"
"bgh06778","blue"
"bgh01469","green"
"bgh01471","blue"
"bgh05534","brown"
"bgh02165","blue"
"bgh02167","blue"
"bgh05852","black"
"bghG002234000001001","turquoise"
"bgh01553","green"
"bgh01507","yellow"
"bgh06011","blue"
"bgh02166","blue"
"bghG002237000001001","brown"
"bgh01481","red"
"bgh01503","brown"
"bgh01464","yellow"
"bgh06606","blue"
"bgh02260","brown"
"bgh06118","blue"
"bgh01466","blue"
"bgh01483","yellow"
"bgh06745","blue"
"bgh02168","blue"
"bgh03501","pink"
"bghG002240000001001","turquoise"
"bgh01081","yellow"
"bgh00261","magenta"
"bgh02978","blue"
"bgh01079","yellow"
"bgh01080","green"
"bgh02826","turquoise"
"bgh06433","blue"
"bghG002249000001001","brown"
"bghG002249000002001","brown"
"bghG002253000001001","brown"
"bghG002253000002001","brown"
"bghG002254000001001","brown"
"bgh00063","pink"
"bgh05383","red"
"bgh01189","turquoise"
"bgh02076","yellow"
"bgh06353","turquoise"
"bgh02077","green"
"bgh04595","yellow"
"bgh01186","blue"
"bgh01183","yellow"
"bgh02078","red"
"bgh02079","red"
"bghG002256000001001","yellow"
"bghG002256000002001","turquoise"
"bgh01184","pink"
"bgh01187","magenta"
"bgh01188","brown"
"bgh06827","purple"
"bgh01175","turquoise"
"bgh01180","brown"
"bghG002260000001001","brown"
"bgh01178","brown"
"bgh00706","blue"
"bghG002265000001001","turquoise"
"bgh03001","yellow"
"bghG002278000001001","yellow"
"bgh04636","yellow"
"bgh04634","turquoise"
"bgh04635","blue"
"bgh04816","blue"
"bghG002282000001001","yellow"
"bgh00267","yellow"
"bgh04639","turquoise"
"bgh04637","green"
"bgh04809","red"
"bgh05946","yellow"
"bgh04648","yellow"
"bgh04703","blue"
"bgh00147","red"
"bgh02828","turquoise"
"bgh03120","blue"
"bgh02523","turquoise"
"bgh04791","brown"
"bgh03116","turquoise"
"bgh00058","brown"
"bgh04651","blue"
"bgh06699","red"
"bgh05556","blue"
"bghG002294000001001","turquoise"
"bgh02987","turquoise"
"bgh04731","yellow"
"bgh05862","blue"
"bgh04355","turquoise"
"bgh04656","turquoise"
"bgh04782","turquoise"
"bgh00807","blue"
"bgh03591","yellow"
"bgh03761","yellow"
"bgh05516","blue"
"bgh06952","blue"
"bghG002306000001001","brown"
"bgh00729","blue"
"bgh05941","blue"
"bghG002307000001001","yellow"
"bghG002307000002001","brown"
"bghG002309000001001","yellow"
"bgh00829","turquoise"
"bgh02270","brown"
"bgh04760","turquoise"
"bgh05168","yellow"
"bgh06221","brown"
"bgh00828","blue"
"bgh03935","yellow"
"bgh05997","turquoise"
"bgh06214","red"
"bgh00827","yellow"
"bghG002314000001001","yellow"
"bgh00826","yellow"
"bgh00263","turquoise"
"bgh04311","yellow"
"bgh04312","turquoise"
"bgh03265","pink"
"bgh03268","blue"
"bgh00812","yellow"
"bgh01555","black"
"bgh01556","brown"
"bgh04310","turquoise"
"bgh05783","turquoise"
"bgh00806","green"
"bghG002320000001001","red"
"bgh03269","turquoise"
"bgh01159","green"
"bgh02920","blue"
"bgh05878","turquoise"
"bgh06355","brown"
"bgh04526","brown"
"bgh01554","turquoise"
"bgh00805","blue"
"bgh01935","yellow"
"bgh05826","brown"
"bghG002322000001001","turquoise"
"bgh00003","purple"
"bgh00077","turquoise"
"bgh01053","blue"
"bgh02417","brown"
"bgh01054","black"
"bgh01312","purple"
"bgh01313","blue"
"bgh02425","brown"
"bgh00588","turquoise"
"bgh00803","brown"
"bgh02419","yellow"
"bghG002326000001001","yellow"
"bgh04309","blue"
"bgh00804","green"
"bghG002327000001001","yellow"
"bgh02306","blue"
"bgh02418","red"
"bgh02455","green"
"bgh01727","yellow"
"bgh01341","brown"
"bgh01342","blue"
"bgh06527","black"
"bghG002338000001001","turquoise"
"bgh01336","brown"
"bgh02856","turquoise"
"bgh02859","green"
"bgh02861","turquoise"
"bgh03705","turquoise"
"bgh05718","yellow"
"bgh03489","turquoise"
"bgh03643","green"
"bgh06613","brown"
"bghG002346000002001","purple"
"bgh03804","yellow"
"bgh03250","blue"
"bgh01847","blue"
"bghG002348000001001","blue"
"bgh01854","green"
"bgh06350","brown"
"bghG002353000001001","red"
"bgh03444","green"
"bgh00998","yellow"
"bgh00999","red"
"bghG002358000001001","magenta"
"bgh00169","red"
"bgh03270","brown"
"bghG002369000001001","blue"
"bghG002370000001001","brown"
"bgh03171","brown"
"bgh02376","green"
"bgh02051","yellow"
"bgh01795","yellow"
"bghG002389000001001","turquoise"
"bgh00776","brown"
"bgh00777","brown"
"bgh01691","red"
"bghG002396000001001","yellow"
"bgh05008","green"
"bghG002403000001001","turquoise"
"bgh05848","turquoise"
"bgh01104","blue"
"bgh02500","black"
"bgh02919","blue"
"bgh02729","brown"
"bgh02732","turquoise"
"bghG002404000001001","red"
"bgh05248","brown"
"bgh05257","brown"
"bgh06730","brown"
"bgh03593","yellow"
"bgh00309","turquoise"
"bgh01574","turquoise"
"bgh03309","turquoise"
"bgh03071","turquoise"
"bgh03914","green"
"bgh05099","turquoise"
"bgh05734","brown"
"bgh06412","green"
"bgh01412","turquoise"
"bgh02042","blue"
"bgh00020","green"
"bgh01629","brown"
"bghG002438000001001","brown"
"bghG002439000001001","turquoise"
"bgh06515","green"
"bgh04024","red"
"bgh03058","green"
"bgh04023","turquoise"
"bgh01628","green"
"bgh04266","turquoise"
"bgh00013","green"
"bgh00994","magenta"
"bgh05753","green"
"bgh05990","turquoise"
"bgh01404","brown"
"bgh01069","brown"
"bgh01405","turquoise"
"bgh02923","turquoise"
"bgh01369","turquoise"
"bgh01406","turquoise"
"bgh06709","turquoise"
"bgh05393","blue"
"bgh03640","blue"
"bgh04931","yellow"
"bgh05326","blue"
"bgh05286","black"
"bgh00739","brown"
"bgh02918","turquoise"
"bgh02922","brown"
"bgh04088","brown"
"bgh06820","blue"
"bgh05962","blue"
"bgh03669","pink"
"bgh03614","brown"
"bgh04089","brown"
"bghG002559000001001","brown"
"bghG002565000001001","red"
"bgh02924","turquoise"
"bgh04959","yellow"
"bgh00047","black"
"bgh00942","red"
"bgh03318","brown"
"bgh06651","brown"
"bgh03502","turquoise"
"bgh05739","brown"
"bghG002588000001001","brown"
"bghG002588000002001","turquoise"
"bghG002591000002001","brown"
"bgh02276","brown"
"bghG002591000001001","brown"
"bgh00381","blue"
"bgh00420","brown"
"bghG002591000003001","brown"
"bgh04650","yellow"
"bgh00377","blue"
"bghG002593000003001","green"
"bghG002593000004001","turquoise"
"bgh05069","turquoise"
"bgh05096","turquoise"
"bgh04769","brown"
"bghG002599000001001","green"
"bghG002599000002001","turquoise"
"bghG002601000001001","turquoise"
"bghG002605000001001","turquoise"
"bgh00382","magenta"
"bgh06032","yellow"
"bgh00273","red"
"bgh03057","blue"
"bgh03061","brown"
"bgh03260","red"
"bgh00194","brown"
"bgh00195","black"
"bgh00401","blue"
"bgh00394","turquoise"
"bgh06372","turquoise"
"bgh06573","brown"
"bgh05570","blue"
"bgh00392","black"
"bghG002621000001001","brown"
"bghG002627000001001","brown"
"bghG002627000002001","turquoise"
"bgh00371","blue"
"bghG002628000001001","brown"
"bgh04876","turquoise"
"bgh00579","red"
"bgh03059","brown"
"bgh00676","blue"
"bghG002640000001001","turquoise"
"bghG002644000002001","turquoise"
"bgh01543","blue"
"bgh01549","brown"
"bgh01552","yellow"
"bgh05052","blue"
"bgh02282","brown"
"bgh03740","black"
"bgh01546","brown"
"bgh05771","red"
"bgh00882","turquoise"
"bgh00880","blue"
"bgh04859","blue"
"bgh00883","turquoise"
"bgh05246","red"
"bgh05674","turquoise"
"bgh05445","turquoise"
"bgh00881","turquoise"
"bgh03424","brown"
"bghG002695000001001","brown"
"bgh05837","turquoise"
"bgh05016","yellow"
"bgh05243","brown"
"bghG002715000001001","yellow"
"bgh05620","brown"
"bgh03645","turquoise"
"bghG002716000001001","turquoise"
"bgh03017","turquoise"
"bgh00238","green"
"bgh01579","turquoise"
"bgh05245","turquoise"
"bgh03916","magenta"
"bgh02036","turquoise"
"bgh02043","black"
"bgh05212","turquoise"
"bgh02038","red"
"bgh05242","yellow"
"bghG002722000001001","turquoise"
"bgh02562","blue"
"bgh02560","blue"
"bgh04204","turquoise"
"bgh00068","blue"
"bgh04594","yellow"
"bgh02121","blue"
"bgh03351","brown"
"bgh02044","brown"
"bgh02118","red"
"bgh02119","yellow"
"bgh02120","turquoise"
"bgh02122","yellow"
"bgh02144","yellow"
"bgh00665","blue"
"bghG002741000001001","turquoise"
"bgh04133","brown"
"bghG002743000001001","green"
"bgh00441","black"
"bgh04994","turquoise"
"bgh02992","turquoise"
"bgh05035","blue"
"bgh00922","green"
"bgh04674","turquoise"
"bgh05320","pink"
"bgh05322","turquoise"
"bgh02182","brown"
"bgh03816","turquoise"
"bgh03032","blue"
"bgh03055","turquoise"
"bgh03844","yellow"
"bgh00048","brown"
"bgh06904","brown"
"bgh00602","green"
"bgh04985","brown"
"bgh05358","turquoise"
"bghG002783000001001","brown"
"bgh00601","yellow"
"bgh00923","brown"
"bgh04583","blue"
"bgh04585","blue"
"bghG002788000001001","blue"
"bgh01301","blue"
"bgh05311","green"
"bgh00925","turquoise"
"bgh02708","blue"
"bgh01295","blue"
"bgh01299","blue"
"bgh05007","turquoise"
"bghG002790000001001","yellow"
"bgh01190","blue"
"bgh01298","blue"
"bgh01114","green"
"bgh04220","turquoise"
"bgh01112","blue"
"bgh01172","yellow"
"bgh03958","blue"
"bghG002806000001001","turquoise"
"bgh01115","yellow"
"bgh01116","turquoise"
"bghG002807000001001","pink"
"bgh06933","turquoise"
"bghG002810000001001","brown"
"bgh00117","turquoise"
"bgh05722","blue"
"bghG002813000001001","brown"
"bgh00893","blue"
"bghG002816000001001","magenta"
"bgh00166","green"
"bgh04217","red"
"bgh06271","blue"
"bgh04218","green"
"bgh03506","turquoise"
"bgh06804","turquoise"
"bghG002822000001001","turquoise"
"bghG002822000002001","brown"
"bghG002825000001001","blue"
"bgh06731","red"
"bghG002826000001001","blue"
"bghG002826000002001","turquoise"
"bgh00987","turquoise"
"bgh01051","turquoise"
"bgh00476","red"
"bgh01052","turquoise"
"bgh03456","yellow"
"bgh05526","black"
"bgh03092","yellow"
"bgh01012","blue"
"bgh02773","blue"
"bgh02392","brown"
"bgh02394","blue"
"bgh00992","blue"
"bgh06857","blue"
"bgh03221","blue"
"bgh03943","blue"
"bgh00090","red"
"bgh01742","turquoise"
"bgh01788","brown"
"bgh05561","yellow"
"bgh02775","yellow"
"bgh03764","turquoise"
"bgh03959","black"
"bgh05828","brown"
"bgh01075","yellow"
"bgh01076","brown"
"bgh01750","turquoise"
"bgh03985","green"
"bgh04569","red"
"bgh05597","blue"
"bghG002857000001001","green"
"bghG002861000001001","turquoise"
"bgh06362","green"
"bghG002868000001001","green"
"bgh00091","turquoise"
"bgh01319","yellow"
"bgh00573","turquoise"
"bgh00574","turquoise"
"bgh01304","magenta"
"bgh01305","yellow"
"bgh01314","yellow"
"bgh01307","brown"
"bgh01308","turquoise"
"bgh01309","brown"
"bgh01306","blue"
"bgh04272","brown"
"bgh01311","blue"
"bgh04053","turquoise"
"bgh00148","yellow"
"bgh01322","brown"
"bgh06833","yellow"
"bgh00294","red"
"bgh01320","red"
"bgh03949","turquoise"
"bgh03951","turquoise"
"bghG002872000001001","red"
"bgh00989","black"
"bgh02448","yellow"
"bgh01321","brown"
"bgh04986","blue"
"bgh04774","green"
"bgh03187","brown"
"bgh02354","turquoise"
"bgh03780","yellow"
"bgh04780","yellow"
"bgh01954","turquoise"
"bgh06044","brown"
"bghG002909000001001","brown"
"bghG002910000001001","brown"
"bghG002912000002001","brown"
"bghG002914000001001","turquoise"
"bgh02513","turquoise"
"bgh06623","turquoise"
"bgh00561","yellow"
"bgh02516","black"
"bgh02517","blue"
"bgh02519","blue"
"bgh06440","brown"
"bgh04323","green"
"bgh06758","turquoise"
"bgh00039","brown"
"bgh01422","turquoise"
"bgh02793","yellow"
"bgh06404","green"
"bghG002926000001001","turquoise"
"bghG002926000002001","red"
"bgh05125","green"
"bgh05496","yellow"
"bgh00496","turquoise"
"bgh04097","blue"
"bgh04098","blue"
"bgh04251","turquoise"
"bgh00933","green"
"bgh00935","green"
"bgh05127","green"
"bgh00934","blue"
"bgh04252","yellow"
"bgh05124","yellow"
"bgh00171","blue"
"bghG002931000001001","turquoise"
"bgh00954","blue"
"bgh00959","brown"
"bgh04253","blue"
"bgh04962","blue"
"bgh04319","blue"
"bgh00100","brown"
"bgh00960","turquoise"
"bgh00961","turquoise"
"bgh00608","purple"
"bgh00955","yellow"
"bgh01872","green"
"bgh03453","yellow"
"bgh06787","turquoise"
"bgh00282","magenta"
"bgh00956","red"
"bgh04254","yellow"
"bgh00503","yellow"
"bgh04783","blue"
"bgh03213","pink"
"bgh00688","red"
"bgh00504","yellow"
"bgh00505","turquoise"
"bgh00687","turquoise"
"bgh02007","brown"
"bgh03566","red"
"bgh00506","turquoise"
"bgh02534","blue"
"bgh00689","brown"
"bgh03712","blue"
"bgh00507","turquoise"
"bgh02008","yellow"
"bgh03564","turquoise"
"bgh04531","red"
"bgh00129","brown"
"bgh00690","red"
"bgh00691","turquoise"
"bgh04775","green"
"bgh02014","yellow"
"bgh03554","turquoise"
"bgh03555","turquoise"
"bgh02010","yellow"
"bgh03068","turquoise"
"bgh04945","pink"
"bgh02738","blue"
