"Gene","Module"
"bgh00357","blue"
"bgh01670","red"
"bghG000345000001001","green"
"bgh06450","green"
"bghG000347000001001","green"
"bgh02524","brown"
"bghG000349000001001","green"
"bghG000349000003001","green"
"bgh00363","blue"
"bgh04881","green"
"bgh00577","turquoise"
"bgh02531","turquoise"
"bgh05043","black"
"bgh03090","pink"
"bgh00034","green"
"bgh01633","blue"
"bgh00352","blue"
"bghG000359000001001","green"
"bghG000359000002001","green"
"bgh00099","green"
"bgh05044","yellow"
"bgh05642","brown"
"bghG000361000001001","green"
"bgh06754","green"
"bgh06276","green"
"bgh03978","green"
"bgh03737","turquoise"
"bgh03738","turquoise"
"bgh06059","yellow"
"bgh02039","turquoise"
"bgh00323","purple"
"bgh03458","blue"
"bghG000385000001001","turquoise"
"bgh03730","turquoise"
"bgh04813","brown"
"bgh01655","green"
"bgh06578","green"
"bghG000389000001001","green"
"bgh02998","green"
"bgh03375","turquoise"
"bgh00215","turquoise"
"bgh04192","pink"
"bgh05029","blue"
"bghG000402000001001","turquoise"
"bgh05438","turquoise"
"bgh03015","green"
"bgh00738","brown"
"bgh06567","turquoise"
"bgh02620","turquoise"
"bgh02633","turquoise"
"bgh05421","black"
"bgh06082","turquoise"
"bgh03492","magenta"
"bgh05720","brown"
"bgh02942","brown"
"bgh04026","green"
"bgh04423","turquoise"
"bghG000408000001001","turquoise"
"bgh02948","red"
"bgh06593","magenta"
"bgh02838","green"
"bgh02545","brown"
"bgh04166","red"
"bgh02878","blue"
"bgh00296","green"
"bgh04165","yellow"
"bgh05262","blue"
"bgh03320","blue"
"bgh04164","turquoise"
"bghG000417000001001","brown"
"bgh03875","green"
"bgh04163","green"
"bgh05067","green"
"bgh02214","brown"
"bgh02768","yellow"
"bgh02765","blue"
"bgh02767","green"
"bgh05291","blue"
"bgh02929","turquoise"
"bgh04010","turquoise"
"bgh04162","blue"
"bgh00348","blue"
"bgh02933","brown"
"bgh04009","brown"
"bgh01817","yellow"
"bgh04008","blue"
"bgh03108","purple"
"bgh01820","blue"
"bgh03752","green"
"bgh05020","red"
"bgh05075","pink"
"bgh05129","blue"
"bgh00093","turquoise"
"bgh06914","yellow"
"bghG000425000001001","blue"
"bgh01647","green"
"bgh01823","red"
"bgh02640","brown"
"bgh03795","yellow"
"bghG000425000002001","brown"
"bgh00134","red"
"bgh03999","brown"
"bgh04007","turquoise"
"bgh02329","brown"
"bgh04000","turquoise"
"bgh01142","blue"
"bgh05305","turquoise"
"bgh04954","turquoise"
"bgh01558","blue"
"bgh02741","yellow"
"bgh03998","magenta"
"bgh04958","magenta"
"bgh05288","turquoise"
"bgh01560","yellow"
"bgh02932","yellow"
"bgh02931","red"
"bgh03997","blue"
"bgh01564","turquoise"
"bgh02466","blue"
"bgh03043","blue"
"bgh06790","purple"
"bgh03873","brown"
"bgh02601","turquoise"
"bgh02697","black"
"bgh06347","yellow"
"bgh03773","turquoise"
"bgh02705","green"
"bgh03996","brown"
"bgh01561","yellow"
"bgh01562","magenta"
"bgh03994","yellow"
"bgh03991","blue"
"bgh03992","yellow"
"bgh03993","magenta"
"bgh06577","blue"
"bghG000441000001001","blue"
"bgh03841","brown"
"bgh02798","turquoise"
"bgh06644","blue"
"bgh03849","blue"
"bgh03839","turquoise"
"bghG000447000001001","turquoise"
"bgh02930","brown"
"bgh03840","green"
"bgh03838","purple"
"bgh03000","yellow"
"bgh03004","turquoise"
"bgh03428","brown"
"bgh03435","black"
"bgh03815","yellow"
"bgh06443","red"
"bgh05518","yellow"
"bgh00089","red"
"bgh02263","turquoise"
"bgh05464","black"
"bgh03330","blue"
"bgh04530","yellow"
"bghG000458000001001","brown"
"bghG000459000001001","brown"
"bgh06542","brown"
"bgh03919","brown"
"bgh03923","blue"
"bghG000464000001001","turquoise"
"bghG000464000002001","brown"
"bgh03307","blue"
"bgh03229","yellow"
"bgh03460","yellow"
"bgh03531","red"
"bgh04540","brown"
"bgh03208","brown"
"bgh03223","brown"
"bghG000475000001001","yellow"
"bgh00350","red"
"bgh04544","blue"
"bgh01064","pink"
"bgh06211","turquoise"
"bgh03680","blue"
"bgh05970","yellow"
"bgh01063","green"
"bgh00494","pink"
"bgh03184","purple"
"bgh03195","yellow"
"bgh02535","blue"
"bgh02536","yellow"
"bgh04431","red"
"bgh04430","brown"
"bgh06086","green"
"bgh04429","blue"
"bgh05385","yellow"
"bgh00937","blue"
"bgh03678","red"
"bgh03961","turquoise"
"bgh06318","yellow"
"bgh04003","turquoise"
"bgh04296","brown"
"bgh01348","yellow"
"bgh04432","turquoise"
"bgh05756","turquoise"
"bgh00489","green"
"bghG000509000001001","brown"
"bgh04546","magenta"
"bgh04794","purple"
"bgh03383","turquoise"
"bghG000510000001001","turquoise"
"bgh05364","blue"
"bgh05098","turquoise"
"bghG000514000001001","green"
"bghG000518000001001","turquoise"
"bgh01375","yellow"
"bgh04885","yellow"
"bgh01374","green"
"bgh01134","brown"
"bgh04887","turquoise"
"bgh01534","red"
"bgh01597","red"
"bgh03217","red"
"bgh03218","green"
"bgh01539","yellow"
"bgh03601","blue"
"bgh06928","turquoise"
"bgh03105","blue"
"bgh03106","turquoise"
"bgh03107","yellow"
"bgh03100","yellow"
"bgh06441","red"
"bgh00286","turquoise"
"bgh01542","turquoise"
"bgh00126","red"
"bgh02881","green"
"bgh06529","green"
"bgh01129","red"
"bgh00914","red"
